"row","col","well","plate_id","assay_stage","assay_mode","target_id","sample_id","peptide_id","expected_activity","control_type","concentration_uM","technical_replicate","biological_replicate"
"G","12","G12","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,2
"H","12","H12","PRIMARY_AGO_B2","primary","agonist","TARGET_TLR8_DEMO","vehicle_control_block",NA,NA,"negative_control",NA,3,2
"A","01","A01","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,1
"B","01","B01","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,1
"C","01","C01","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.003uM","PEP-001","agonist","test_sample",0.003,1,1
"D","01","D01","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.003uM","PEP-002","antagonist","test_sample",0.003,1,1
"E","01","E01","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.003uM","PEP-003","artifact","test_sample",0.003,1,1
"F","01","F01","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.3uM","PEP-001","agonist","test_sample",0.3,1,1
"G","01","G01","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.3uM","PEP-002","antagonist","test_sample",0.3,1,1
"H","01","H01","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.3uM","PEP-003","artifact","test_sample",0.3,1,1
"A","02","A02","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,1
"B","02","B02","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,1
"C","02","C02","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.003uM","PEP-001","agonist","test_sample",0.003,2,1
"D","02","D02","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.003uM","PEP-002","antagonist","test_sample",0.003,2,1
"E","02","E02","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.003uM","PEP-003","artifact","test_sample",0.003,2,1
"F","02","F02","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.3uM","PEP-001","agonist","test_sample",0.3,2,1
"G","02","G02","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.3uM","PEP-002","antagonist","test_sample",0.3,2,1
"H","02","H02","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.3uM","PEP-003","artifact","test_sample",0.3,2,1
"A","03","A03","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,1
"B","03","B03","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,1
"C","03","C03","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.003uM","PEP-001","agonist","test_sample",0.003,3,1
"D","03","D03","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.003uM","PEP-002","antagonist","test_sample",0.003,3,1
"E","03","E03","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.003uM","PEP-003","artifact","test_sample",0.003,3,1
"F","03","F03","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.3uM","PEP-001","agonist","test_sample",0.3,3,1
"G","03","G03","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.3uM","PEP-002","antagonist","test_sample",0.3,3,1
"H","03","H03","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.3uM","PEP-003","artifact","test_sample",0.3,3,1
"A","04","A04","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,1
"B","04","B04","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,1
"C","04","C04","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.01uM","PEP-001","agonist","test_sample",0.01,1,1
"D","04","D04","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.01uM","PEP-002","antagonist","test_sample",0.01,1,1
"E","04","E04","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.01uM","PEP-003","artifact","test_sample",0.01,1,1
"F","04","F04","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_1uM","PEP-001","agonist","test_sample",1,1,1
"G","04","G04","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_1uM","PEP-002","antagonist","test_sample",1,1,1
"H","04","H04","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_1uM","PEP-003","artifact","test_sample",1,1,1
"A","05","A05","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,1
"B","05","B05","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,1,1
"C","05","C05","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.01uM","PEP-001","agonist","test_sample",0.01,2,1
"D","05","D05","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.01uM","PEP-002","antagonist","test_sample",0.01,2,1
"E","05","E05","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.01uM","PEP-003","artifact","test_sample",0.01,2,1
"F","05","F05","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_1uM","PEP-001","agonist","test_sample",1,2,1
"G","05","G05","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_1uM","PEP-002","antagonist","test_sample",1,2,1
"H","05","H05","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_1uM","PEP-003","artifact","test_sample",1,2,1
"A","06","A06","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,1
"B","06","B06","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","positive_agonist",NA,NA,"positive_control",NA,2,1
"C","06","C06","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.01uM","PEP-001","agonist","test_sample",0.01,3,1
"D","06","D06","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.01uM","PEP-002","antagonist","test_sample",0.01,3,1
"E","06","E06","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.01uM","PEP-003","artifact","test_sample",0.01,3,1
"F","06","F06","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_1uM","PEP-001","agonist","test_sample",1,3,1
"G","06","G06","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_1uM","PEP-002","antagonist","test_sample",1,3,1
"H","06","H06","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_1uM","PEP-003","artifact","test_sample",1,3,1
"A","07","A07","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"B","07","B07","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","07","C07","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.03uM","PEP-001","agonist","test_sample",0.03,1,1
"D","07","D07","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.03uM","PEP-002","antagonist","test_sample",0.03,1,1
"E","07","E07","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.03uM","PEP-003","artifact","test_sample",0.03,1,1
"F","07","F07","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_3uM","PEP-001","agonist","test_sample",3,1,1
"G","07","G07","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_3uM","PEP-002","antagonist","test_sample",3,1,1
"H","07","H07","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_3uM","PEP-003","artifact","test_sample",3,1,1
"A","08","A08","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"B","08","B08","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","08","C08","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.03uM","PEP-001","agonist","test_sample",0.03,2,1
"D","08","D08","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.03uM","PEP-002","antagonist","test_sample",0.03,2,1
"E","08","E08","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.03uM","PEP-003","artifact","test_sample",0.03,2,1
"F","08","F08","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_3uM","PEP-001","agonist","test_sample",3,2,1
"G","08","G08","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_3uM","PEP-002","antagonist","test_sample",3,2,1
"H","08","H08","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_3uM","PEP-003","artifact","test_sample",3,2,1
"A","09","A09","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,1
"B","09","B09","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","09","C09","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.03uM","PEP-001","agonist","test_sample",0.03,3,1
"D","09","D09","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.03uM","PEP-002","antagonist","test_sample",0.03,3,1
"E","09","E09","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.03uM","PEP-003","artifact","test_sample",0.03,3,1
"F","09","F09","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_3uM","PEP-001","agonist","test_sample",3,3,1
"G","09","G09","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_3uM","PEP-002","antagonist","test_sample",3,3,1
"H","09","H09","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_3uM","PEP-003","artifact","test_sample",3,3,1
"A","10","A10","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,2,1
"B","10","B10","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","10","C10","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.1uM","PEP-001","agonist","test_sample",0.1,1,1
"D","10","D10","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.1uM","PEP-002","antagonist","test_sample",0.1,1,1
"E","10","E10","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.1uM","PEP-003","artifact","test_sample",0.1,1,1
"F","10","F10","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_10uM","PEP-001","agonist","test_sample",10,1,1
"G","10","G10","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_10uM","PEP-002","antagonist","test_sample",10,1,1
"H","10","H10","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_10uM","PEP-003","artifact","test_sample",10,1,1
"A","11","A11","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,3,1
"B","11","B11","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","11","C11","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.1uM","PEP-001","agonist","test_sample",0.1,2,1
"D","11","D11","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.1uM","PEP-002","antagonist","test_sample",0.1,2,1
"E","11","E11","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.1uM","PEP-003","artifact","test_sample",0.1,2,1
"F","11","F11","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_10uM","PEP-001","agonist","test_sample",10,2,1
"G","11","G11","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_10uM","PEP-002","antagonist","test_sample",10,2,1
"H","11","H11","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_10uM","PEP-003","artifact","test_sample",10,2,1
"A","12","A12","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,4,1
"B","12","B12","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","12","C12","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_0.1uM","PEP-001","agonist","test_sample",0.1,3,1
"D","12","D12","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_0.1uM","PEP-002","antagonist","test_sample",0.1,3,1
"E","12","E12","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_0.1uM","PEP-003","artifact","test_sample",0.1,3,1
"F","12","F12","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-001_10uM","PEP-001","agonist","test_sample",10,3,1
"G","12","G12","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-002_10uM","PEP-002","antagonist","test_sample",10,3,1
"H","12","H12","SECONDARY_AGO_CURVE_B1","secondary","agonist","TARGET_TLR8_DEMO","PEP-003_10uM","PEP-003","artifact","test_sample",10,3,1
"A","01","A01","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,1
"B","01","B01","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,1,1
"C","01","C01","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.003uM","PEP-001","agonist","test_sample",0.003,1,1
"D","01","D01","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.003uM","PEP-002","antagonist","test_sample",0.003,1,1
"E","01","E01","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.003uM","PEP-003","artifact","test_sample",0.003,1,1
"F","01","F01","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.3uM","PEP-001","agonist","test_sample",0.3,1,1
"G","01","G01","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.3uM","PEP-002","antagonist","test_sample",0.3,1,1
"H","01","H01","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.3uM","PEP-003","artifact","test_sample",0.3,1,1
"A","02","A02","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,1
"B","02","B02","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","blank",NA,NA,"blank",NA,2,1
"C","02","C02","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.003uM","PEP-001","agonist","test_sample",0.003,2,1
"D","02","D02","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.003uM","PEP-002","antagonist","test_sample",0.003,2,1
"E","02","E02","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.003uM","PEP-003","artifact","test_sample",0.003,2,1
"F","02","F02","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.3uM","PEP-001","agonist","test_sample",0.3,2,1
"G","02","G02","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.3uM","PEP-002","antagonist","test_sample",0.3,2,1
"H","02","H02","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.3uM","PEP-003","artifact","test_sample",0.3,2,1
"A","03","A03","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,1
"B","03","B03","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,1,1
"C","03","C03","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.003uM","PEP-001","agonist","test_sample",0.003,3,1
"D","03","D03","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.003uM","PEP-002","antagonist","test_sample",0.003,3,1
"E","03","E03","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.003uM","PEP-003","artifact","test_sample",0.003,3,1
"F","03","F03","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.3uM","PEP-001","agonist","test_sample",0.3,3,1
"G","03","G03","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.3uM","PEP-002","antagonist","test_sample",0.3,3,1
"H","03","H03","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.3uM","PEP-003","artifact","test_sample",0.3,3,1
"A","04","A04","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,1
"B","04","B04","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","vehicle",NA,NA,"negative_control",NA,2,1
"C","04","C04","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.01uM","PEP-001","agonist","test_sample",0.01,1,1
"D","04","D04","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.01uM","PEP-002","antagonist","test_sample",0.01,1,1
"E","04","E04","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.01uM","PEP-003","artifact","test_sample",0.01,1,1
"F","04","F04","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_1uM","PEP-001","agonist","test_sample",1,1,1
"G","04","G04","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_1uM","PEP-002","antagonist","test_sample",1,1,1
"H","04","H04","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_1uM","PEP-003","artifact","test_sample",1,1,1
"A","05","A05","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","agonist_challenge",NA,NA,"agonist_challenge_control",NA,1,1
"B","05","B05","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","agonist_challenge",NA,NA,"agonist_challenge_control",NA,1,1
"C","05","C05","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.01uM","PEP-001","agonist","test_sample",0.01,2,1
"D","05","D05","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.01uM","PEP-002","antagonist","test_sample",0.01,2,1
"E","05","E05","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.01uM","PEP-003","artifact","test_sample",0.01,2,1
"F","05","F05","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_1uM","PEP-001","agonist","test_sample",1,2,1
"G","05","G05","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_1uM","PEP-002","antagonist","test_sample",1,2,1
"H","05","H05","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_1uM","PEP-003","artifact","test_sample",1,2,1
"A","06","A06","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","agonist_challenge",NA,NA,"agonist_challenge_control",NA,2,1
"B","06","B06","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","agonist_challenge",NA,NA,"agonist_challenge_control",NA,2,1
"C","06","C06","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.01uM","PEP-001","agonist","test_sample",0.01,3,1
"D","06","D06","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.01uM","PEP-002","antagonist","test_sample",0.01,3,1
"E","06","E06","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.01uM","PEP-003","artifact","test_sample",0.01,3,1
"F","06","F06","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_1uM","PEP-001","agonist","test_sample",1,3,1
"G","06","G06","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_1uM","PEP-002","antagonist","test_sample",1,3,1
"H","06","H06","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_1uM","PEP-003","artifact","test_sample",1,3,1
"A","07","A07","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","known_antagonist",NA,NA,"known_antagonist_control",1,1,1
"B","07","B07","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","known_antagonist",NA,NA,"known_antagonist_control",1,1,1
"C","07","C07","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.03uM","PEP-001","agonist","test_sample",0.03,1,1
"D","07","D07","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.03uM","PEP-002","antagonist","test_sample",0.03,1,1
"E","07","E07","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.03uM","PEP-003","artifact","test_sample",0.03,1,1
"F","07","F07","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_3uM","PEP-001","agonist","test_sample",3,1,1
"G","07","G07","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_3uM","PEP-002","antagonist","test_sample",3,1,1
"H","07","H07","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_3uM","PEP-003","artifact","test_sample",3,1,1
"A","08","A08","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","known_antagonist",NA,NA,"known_antagonist_control",1,2,1
"B","08","B08","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","known_antagonist",NA,NA,"known_antagonist_control",1,2,1
"C","08","C08","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.03uM","PEP-001","agonist","test_sample",0.03,2,1
"D","08","D08","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.03uM","PEP-002","antagonist","test_sample",0.03,2,1
"E","08","E08","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.03uM","PEP-003","artifact","test_sample",0.03,2,1
"F","08","F08","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_3uM","PEP-001","agonist","test_sample",3,2,1
"G","08","G08","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_3uM","PEP-002","antagonist","test_sample",3,2,1
"H","08","H08","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_3uM","PEP-003","artifact","test_sample",3,2,1
"A","09","A09","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","ipc_reference","PEP-001","agonist","inter_plate_calibrator",1,1,1
"B","09","B09","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","EMPTY",NA,NA,"empty",NA,NA,1
"C","09","C09","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_0.03uM","PEP-001","agonist","test_sample",0.03,3,1
"D","09","D09","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_0.03uM","PEP-002","antagonist","test_sample",0.03,3,1
"E","09","E09","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-003_0.03uM","PEP-003","artifact","test_sample",0.03,3,1
"F","09","F09","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-001_3uM","PEP-001","agonist","test_sample",3,3,1
"G","09","G09","SECONDARY_ANT_CURVE_B1","secondary","antagonist","TARGET_TLR8_DEMO","PEP-002_3uM","PEP-002","antagonist","test_sample",3,3,1
